userId,movieId,rating,timestamp
1,1,4,964982703
1,3,4,964981247
1,6,4,964982224
1,47,5,964983815
1,50,5,964982931
1,70,3,964982400
1,101,5,964980868
1,110,4,964982176
1,151,5,964984041
1,157,5,964984100
1,163,5,964983650
1,216,5,964981208
1,223,3,964980985
1,231,5,964981179
1,235,4,964980908
1,260,5,964981680
1,296,3,964982967
1,316,3,964982310
1,333,5,964981179
1,349,4,964982563
1,356,4,964980962
1,362,5,964982588
1,367,4,964981710
1,423,3,964982363
1,441,4,964980868
1,457,5,964981909
1,480,4,964982346
1,500,3,964981208
1,527,5,964984002
1,543,4,964981179
1,552,4,964982653
1,553,5,964984153
1,590,4,964982546
1,592,4,964982271
1,593,4,964983793
1,596,5,964982838
1,608,5,964982931
1,648,3,964982563
1,661,5,964982838
1,673,3,964981775
1,733,4,964982400
1,736,3,964982653
1,780,3,964984086
1,804,4,964980499
1,919,5,964982475
1,923,5,964981529
1,940,5,964982176
1,943,4,964983614
1,954,5,964983219
1,1009,3,964981775
1,1023,5,964982681
1,1024,5,964982876
1,1025,5,964982791
1,1029,5,964982855
1,1030,3,964982903
1,1031,5,964982653
1,1032,5,964982791
1,1042,4,964981179
1,1049,5,964982400
1,1060,4,964980924
1,1073,5,964981680
1,1080,5,964981327
1,1089,5,964982951
1,1090,4,964984018
1,1092,5,964983484
1,1219,2,964983393
1,1220,5,964981909
1,1222,5,964981909
1,1224,5,964984018
1,1226,5,964983618
1,1240,5,964983723
1,1256,5,964981442
1,1258,3,964983414
1,1265,4,964983599
1,1270,5,964983705
1,1275,5,964982290
1,1278,5,964983414
1,1282,5,964982703
1,1291,5,964981909
1,1298,5,964984086
1,1348,4,964983393
1,1377,3,964982653
1,1396,3,964983017
1,1408,3,964982310
1,1445,3,964984112
1,1473,4,964980875
1,1500,4,964980985
1,1517,5,964981107
1,1552,4,964982620
1,1573,5,964982290
1,1580,3,964981125
1,1587,5,964982346
1,1617,5,964982951
1,1620,4,964983056
1,1625,5,964983504
1,1644,3,964983536
1,1676,3,964982620
1,1732,5,964981125
1,1777,4,964981230
1,1793,4,964981404
1,1804,5,964983034
1,1805,4,964983056
1,1920,4,964981780
1,1927,5,964981497
1,1954,5,964982176
1,1967,4,964981710
1,2000,4,964982211
1,2005,5,964981710
1,2012,4,964984176
1,2018,5,964980523
1,2028,4,964981888
1,2033,5,964982903
1,2046,4,964982563
1,2048,5,964982791
1,2054,4,964981747
1,2058,5,964982400
1,2078,5,964982838
1,2090,5,964982838
1,2093,3,964981710
1,2094,5,964982653
1,2096,4,964982838
1,2099,4,964982588
1,2105,4,964981725
1,2115,5,964982529
1,2116,5,964982876
1,2137,5,964982791
1,2139,5,964982791
1,2141,5,964982838
1,2143,4,964981725
1,2161,5,964981710
1,2174,4,964981680
1,2193,4,964981710
1,2253,2,964981775
1,2268,4,964982989
1,2273,4,964982310
1,2291,5,964983664
1,2329,5,964983263
1,2338,2,964983546
1,2353,5,964983861
1,2366,4,964982462
1,2387,5,964983123
1,2389,2,964983094
1,2395,5,964981093
1,2406,4,964982310
1,2414,3,964982513
1,2427,5,964982242
1,2450,4,964982620
1,2459,5,964983414
1,2470,5,964982588
1,2478,4,964984169
1,2492,4,965719662
1,2502,5,964981278
1,2528,3,964982328
1,2529,5,964982242
1,2542,5,964981265
1,2571,5,964981888
1,2580,5,964983000
1,2596,5,964981144
1,2616,4,964983080
1,2617,2,964982588
1,2628,4,964980523
1,2640,4,964982377
1,2641,5,964982620
1,2644,4,964983393
1,2648,4,964983414
1,2654,5,964983393
1,2657,3,964983426
1,2692,5,964981855
1,2700,5,964980985
1,2716,5,964983414
1,2761,5,964982703
1,2797,4,964981710
1,2826,4,964980523
1,2858,5,964980868
1,2872,5,964981680
1,2899,5,964982703
1,2916,4,964982290
1,2944,5,964981872
1,2947,5,964982176
1,2948,5,964982191
1,2949,5,964981888
1,2959,5,964983282
1,2985,4,964983034
1,2987,5,964982495
1,2991,5,964982271
1,2993,5,964982242
1,2997,4,964980896
1,3033,5,964983762
1,3034,5,964982791
1,3052,5,964981208
1,3053,5,964984086
1,3062,4,964981872
1,3147,5,964983873
1,3168,4,964982495
1,3176,1,964983504
1,3243,3,964981093
1,3247,3,964983108
1,3253,5,964981107
1,3273,5,964983536
1,3386,5,964983484
1,3439,4,964981799
1,3440,4,964981799
1,3441,5,964982328
1,3448,5,964984054
1,3450,5,964981144
1,3479,4,964981725
1,3489,4,964981775
1,3527,4,964982271
1,3578,5,964980668
1,3617,4,964980683
1,3639,4,964982271
1,3671,5,964981589
1,3702,5,964983737
1,3703,5,964981909
1,3729,5,964982363
1,3740,4,964982417
1,3744,4,964980694
1,3793,5,964981855
1,3809,4,964981220
1,4006,4,964982903
1,5060,5,964984002
2,318,3,1445714835
2,333,4,1445715029
2,1704,4.5,1445715228
2,3578,4,1445714885
2,6874,4,1445714952
2,8798,3.5,1445714960
2,46970,4,1445715013
2,48516,4,1445715064
2,58559,4.5,1445715141
2,60756,5,1445714980
2,68157,4.5,1445715154
2,71535,3,1445714974
2,74458,4,1445714926
2,77455,3,1445714941
2,79132,4,1445714841
2,80489,4.5,1445715340
2,80906,5,1445715172
2,86345,4,1445715166
2,89774,5,1445715189
2,91529,3.5,1445714891
2,91658,2.5,1445714938
2,99114,3.5,1445714874
2,106782,5,1445714966
2,109487,3,1445715145
2,112552,4,1445714882
3,31,0.5,1306463578
3,527,0.5,1306464275
3,647,0.5,1306463619
3,688,0.5,1306464228
3,720,0.5,1306463595
